n,time,total_time,nodes,results
4,5.602836608886719e-05,5.602836608886719e-05,10,"{'3': 1, '4': 3, '1': 2, '2': 4}"
5,6.890296936035156e-05,0.00012493133544921875,15,"{'3': 1, '4': 3, '5': 5, '1': 2, '2': 4}"
6,0.00026679039001464844,0.0003917217254638672,63,"{'3': 1, '6': 2, '4': 6, '5': 4, '1': 5, '2': 3}"
7,0.0008289813995361328,0.001220703125,154,"{'3': 1, '6': 2, '4': 6, '5': 4, '1': 5, '7': 7, '2': 3}"
8,0.0002779960632324219,0.0014986991882324219,44,"{'3': 1, '6': 2, '4': 3, '5': 6, '8': 5, '1': 4, '7': 7, '2': 8}"
9,0.0003941059112548828,0.0018928050994873047,45,"{'3': 1, '9': 2, '6': 3, '4': 4, '5': 7, '8': 9, '1': 5, '7': 6, '2': 8}"
10,0.014194250106811523,0.016087055206298828,975,"{'3': 1, '9': 2, '6': 3, '4': 6, '10': 10, '5': 9, '8': 4, '1': 7, '7': 8, '2': 5}"
11,0.0009918212890625,0.017078876495361328,66,"{'3': 1, '9': 2, '6': 3, '4': 4, '10': 5, '5': 7, '8': 9, '11': 10, '1': 6, '7': 11, '2': 8}"
12,0.0024580955505371094,0.019536972045898438,90,"{'3': 1, '9': 2, '6': 3, '4': 4, '10': 5, '5': 7, '8': 9, '7': 11, '11': 10, '1': 6, '12': 8, '2': 12}"
13,0.15649795532226562,0.17603492736816406,3367,"{'3': 1, '9': 2, '6': 3, '4': 4, '10': 5, '5': 12, '8': 11, '7': 9, '11': 10, '1': 6, '12': 13, '2': 8, '13': 7}"
14,0.4245913028717041,0.6006262302398682,5397,"{'3': 1, '9': 2, '14': 3, '6': 6, '4': 5, '10': 13, '5': 9, '8': 10, '7': 14, '11': 8, '1': 7, '12': 4, '2': 11, '13': 12}"
15,0.1404271125793457,0.7410533428192139,2190,"{'3': 1, '9': 2, '14': 3, '6': 6, '15': 5, '4': 9, '10': 11, '5': 14, '8': 7, '7': 15, '11': 13, '1': 8, '12': 4, '2': 12, '13': 10}"
16,0.5448958873748779,1.2859492301940918,6376,"{'3': 1, '9': 2, '14': 3, '6': 6, '15': 5, '4': 9, '10': 4, '16': 12, '5': 11, '8': 10, '7': 16, '11': 15, '1': 8, '12': 7, '2': 13, '13': 14}"
17,0.3263521194458008,1.6123013496398926,2686,"{'3': 1, '9': 2, '14': 3, '6': 6, '15': 5, '4': 9, '10': 4, '16': 7, '5': 11, '8': 17, '17': 12, '7': 15, '11': 10, '1': 8, '12': 16, '2': 13, '13': 14}"
18,0.2417621612548828,1.8540635108947754,1467,"{'3': 1, '9': 2, '14': 3, '6': 6, '15': 5, '4': 9, '10': 4, '16': 7, '5': 11, '18': 10, '8': 16, '17': 18, '7': 14, '11': 8, '1': 17, '12': 15, '2': 13, '13': 12}"
19,1.0019869804382324,2.856050491333008,6384,"{'19': 1, '3': 2, '9': 3, '14': 4, '6': 7, '15': 6, '4': 10, '10': 5, '16': 8, '5': 12, '18': 15, '8': 19, '17': 13, '7': 16, '11': 11, '1': 9, '12': 14, '2': 17, '13': 18}"
20,10.408007860183716,13.264058351516724,46530,"{'19': 1, '18': 3, '3': 2, '9': 4, '20': 6, '14': 5, '6': 8, '15': 7, '4': 11, '10': 20, '16': 13, '5': 19, '8': 17, '17': 15, '7': 10, '11': 12, '1': 9, '12': 16, '2': 14, '13': 18}"
21,10.141803979873657,23.40586233139038,41160,"{'19': 1, '18': 3, '17': 5, '3': 2, '9': 4, '20': 6, '14': 10, '6': 8, '15': 12, '4': 7, '10': 20, '16': 16, '5': 18, '8': 9, '21': 14, '7': 11, '11': 17, '1': 15, '12': 19, '2': 13, '13': 21}"
22,50.73325300216675,74.13911533355713,150117,"{'19': 1, '18': 3, '17': 5, '12': 2, '3': 4, '9': 6, '20': 7, '22': 8, '14': 9, '6': 10, '15': 14, '4': 21, '10': 22, '16': 19, '5': 13, '8': 18, '21': 15, '7': 12, '11': 17, '1': 16, '2': 11, '13': 20}"
